label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,warmup
e1-5,binary,5,bot_8,208,b,4,3.11,25,0
e1-5,binary,5,bot_8,208,b,6,4.36,25,0
e1-5,binary,5,bot_8,208,b,8,7.91,25,0
e1-5,binary,5,bot_8,208,b,10,6.13,25,0
e1-5,binary,5,bot_8,208,b,12,9.9,25,0
e1-5,binary,5,bot_8,208,b,14,12.62,25,0
e1-5,binary,5,bot_8,208,b,16,11.21,25,0
e1-5,binary,5,bot_8,208,b,18,8.36,25,0
e1-5,binary,5,bot_8,208,b,20,12.03,25,0
e1-5,binary,5,bot_8,208,b,22,7.4,25,0
e1-5,binary,5,bot_8,208,b,24,9.85,25,0
e1-5,binary,5,bot_8,208,b,26,8.64,25,0
e1-5,binary,5,bot_8,208,b,28,17.32,25,0
e1-5,binary,5,bot_8,208,b,30,39.8,25,0
e1-5,binary,5,bot_8,208,b,32,17.71,25,0
e1-5,binary,5,bot_8,208,b,34,24.57,25,0
e1-5,binary,5,bot_8,208,b,36,29.46,25,0
e1-5,binary,5,bot_8,208,b,38,16.65,25,0
e1-5,binary,5,bot_8,208,b,40,8.59,25,0
e1-5,binary,5,bot_8,208,b,42,10.25,25,0
e1-5,binary,5,bot_8,208,b,44,10.8,25,0
e1-5,binary,5,bot_8,208,b,46,7.97,25,0
e1-5,binary,5,bot_8,208,b,48,10.59,25,0
e1-5,binary,5,bot_8,208,b,50,7.74,25,0
e1-5,binary,5,bot_8,208,b,52,13.31,25,0
e1-5,binary,5,bot_8,208,b,54,5.96,25,0
e1-5,binary,5,bot_8,208,b,56,7.68,25,0
e1-5,binary,5,bot_8,208,b,58,6.7,25,0
e1-5,binary,5,bot_8,208,b,60,7.32,25,0
e1-5,binary,5,bot_9,209,w,1,4.24,25,0
e1-5,binary,5,bot_9,209,w,3,3.52,25,0
e1-5,binary,5,bot_9,209,w,5,3,25,0
e1-5,binary,5,bot_9,209,w,7,2.91,25,0
e1-5,binary,5,bot_9,209,w,9,4.8,25,0
e1-5,binary,5,bot_9,209,w,11,2.88,25,0
e1-5,binary,5,bot_9,209,w,13,6.55,25,0
e1-5,binary,5,bot_9,209,w,15,7.68,25,0
e1-5,binary,5,bot_9,209,w,17,5.27,25,0
e1-5,binary,5,bot_9,209,w,19,29.33,25,0
e1-5,binary,5,bot_9,209,w,21,17.39,25,0
e1-5,binary,5,bot_9,209,w,23,16.59,25,0
e1-5,binary,5,bot_9,209,w,25,10.54,25,0
e1-5,binary,5,bot_9,209,w,27,11.32,25,0
e1-5,binary,5,bot_9,209,w,29,16.7,25,0
e1-5,binary,5,bot_9,209,w,31,27.93,25,0
e1-5,binary,5,bot_9,209,w,33,8.18,25,0
e1-5,binary,5,bot_9,209,w,35,4.82,25,0
e1-5,binary,5,bot_9,209,w,37,2.82,25,0
e1-5,binary,5,bot_9,209,w,39,3.47,25,0
e1-5,binary,5,bot_9,209,w,41,4,25,0
e1-5,binary,5,bot_9,209,w,43,4.96,25,0
e1-5,binary,5,bot_9,209,w,45,2.45,25,0
e1-5,binary,5,bot_9,209,w,47,3.43,25,0
e1-5,binary,5,bot_9,209,w,49,8.9,25,0
e1-5,binary,5,bot_9,209,w,51,3.12,25,0
e1-5,binary,5,bot_9,209,w,53,3.23,25,0
e1-5,binary,5,bot_9,209,w,55,2.39,25,0
e1-5,binary,5,bot_9,209,w,57,4.41,25,0
e1-5,binary,5,bot_9,209,w,59,5.08,25,0
e1-5,binary,5,bot_10,209,b,2,4.64,25,0
e1-5,binary,5,bot_10,209,b,4,3.69,25,0
e1-5,binary,5,bot_10,209,b,6,5.47,25,0
e1-5,binary,5,bot_10,209,b,8,9.36,25,0
e1-5,binary,5,bot_10,209,b,10,6.8,25,0
e1-5,binary,5,bot_10,209,b,12,6.68,25,0
e1-5,binary,5,bot_10,209,b,14,8.72,25,0
e1-5,binary,5,bot_10,209,b,16,5.26,25,0
e1-5,binary,5,bot_10,209,b,18,39.43,25,0
e1-5,binary,5,bot_10,209,b,20,13.4,25,0
e1-5,binary,5,bot_10,209,b,22,11.56,25,0
e1-5,binary,5,bot_10,209,b,24,31.65,25,0
e1-5,binary,5,bot_10,209,b,26,12.21,25,0
